epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1532.18,1.73905,1.7561,2.03618,0.70781,0.55276,0.61431,0.27837,1.88663,1.64506,2.204,0.000742815,0.000742815,0.000742815
58,1559,1.72767,1.79369,2.03587,0.67637,0.54639,0.60596,0.2843,1.83069,1.65964,2.15096,0.000726312,0.000726312,0.000726312
59,1586.07,1.70781,1.74304,2.0007,0.65422,0.58366,0.62543,0.27812,1.82992,1.65391,2.17222,0.000709809,0.000709809,0.000709809
60,1612.82,1.69291,1.73023,2.00829,0.65777,0.56153,0.63061,0.29277,1.85162,1.59837,2.14911,0.000693305,0.000693305,0.000693305
61,1639.56,1.6929,1.7245,2.0037,0.67084,0.54314,0.62175,0.30035,1.82243,1.60206,2.12564,0.000676802,0.000676802,0.000676802
62,1666.42,1.69077,1.67663,1.97883,0.71326,0.48317,0.59829,0.27043,1.88494,1.71196,2.20289,0.000660299,0.000660299,0.000660299
63,1693.16,1.68193,1.68949,1.96647,0.63659,0.54134,0.58299,0.27785,1.83784,1.63891,2.15631,0.000643795,0.000643795,0.000643795
64,1719.95,1.67081,1.66401,1.97337,0.67393,0.55723,0.6213,0.29042,1.83428,1.6586,2.15148,0.000627292,0.000627292,0.000627292
65,1746.8,1.67076,1.68885,1.97039,0.69023,0.54688,0.62033,0.29701,1.7927,1.64871,2.09797,0.000610789,0.000610789,0.000610789
66,1773.58,1.64574,1.64468,1.94713,0.74688,0.61291,0.69655,0.32377,1.82516,1.49128,2.09718,0.000594286,0.000594286,0.000594286
67,1800.63,1.64188,1.61402,1.93342,0.72193,0.59612,0.69546,0.3306,1.79803,1.49636,2.09787,0.000577782,0.000577782,0.000577782
68,1827.48,1.63521,1.623,1.92979,0.70983,0.55095,0.66167,0.30875,1.80166,1.53429,2.08687,0.000561279,0.000561279,0.000561279
69,1854.14,1.62526,1.57991,1.90068,0.71643,0.60404,0.70545,0.32976,1.81092,1.48549,2.09248,0.000544776,0.000544776,0.000544776
70,1881.14,1.64348,1.61266,1.92815,0.60419,0.59259,0.65462,0.30893,1.81361,1.53336,2.07935,0.000528272,0.000528272,0.000528272
71,1908.03,1.59362,1.6035,1.90248,0.71434,0.60503,0.67482,0.32199,1.77577,1.49035,2.06304,0.000511769,0.000511769,0.000511769
72,1934.88,1.63476,1.57,1.90569,0.64384,0.58268,0.644,0.29861,1.84239,1.58761,2.10635,0.000495266,0.000495266,0.000495266
73,1961.64,1.61119,1.57466,1.89858,0.71441,0.61193,0.68309,0.32364,1.81666,1.44508,2.10995,0.000478762,0.000478762,0.000478762
74,1988.46,1.59939,1.56883,1.88883,0.66984,0.60683,0.6708,0.32515,1.77186,1.47714,2.05038,0.000462259,0.000462259,0.000462259
75,2015.26,1.58065,1.50761,1.87834,0.7401,0.60768,0.70113,0.34113,1.78825,1.43367,2.06047,0.000445756,0.000445756,0.000445756
76,2042.05,1.58966,1.5339,1.88268,0.71791,0.58996,0.7055,0.33335,1.7905,1.43816,2.05986,0.000429253,0.000429253,0.000429253
77,2068.75,1.58971,1.53591,1.87737,0.69612,0.59673,0.68041,0.32962,1.78956,1.44727,2.04442,0.000412749,0.000412749,0.000412749
78,2095.64,1.59018,1.52362,1.87652,0.70893,0.58275,0.67104,0.33062,1.77181,1.44979,2.03305,0.000396246,0.000396246,0.000396246
79,2122.38,1.57348,1.51241,1.85989,0.75762,0.57124,0.69578,0.33692,1.77068,1.38948,2.04472,0.000379743,0.000379743,0.000379743
80,2149.19,1.55218,1.46799,1.84388,0.71055,0.63426,0.69004,0.33424,1.78475,1.45259,2.04789,0.000363239,0.000363239,0.000363239
81,2176.04,1.55613,1.47521,1.84017,0.68657,0.62812,0.68565,0.34113,1.77297,1.4145,2.04739,0.000346736,0.000346736,0.000346736
82,2202.79,1.55504,1.46771,1.84999,0.70332,0.5811,0.68982,0.33031,1.78659,1.41703,2.03362,0.000330233,0.000330233,0.000330233
83,2229.59,1.54447,1.47119,1.8381,0.71495,0.64101,0.72139,0.35155,1.75339,1.39008,2.00659,0.000313729,0.000313729,0.000313729
84,2256.43,1.51441,1.43252,1.81216,0.74146,0.59886,0.70792,0.35424,1.73764,1.38171,2.00123,0.000297226,0.000297226,0.000297226
85,2283.24,1.51934,1.43528,1.8029,0.75791,0.63227,0.72233,0.3506,1.75321,1.35777,2.0158,0.000280723,0.000280723,0.000280723
86,2309.98,1.52802,1.40679,1.81518,0.78163,0.64532,0.73535,0.36635,1.72844,1.30864,2.004,0.00026422,0.00026422,0.00026422
87,2336.85,1.5318,1.42449,1.81561,0.74367,0.64539,0.71642,0.36342,1.72461,1.36239,1.98196,0.000247716,0.000247716,0.000247716
88,2363.66,1.50053,1.39704,1.80802,0.76147,0.64606,0.74337,0.36922,1.74898,1.31689,2.01161,0.000231213,0.000231213,0.000231213
89,2390.53,1.50174,1.37493,1.79128,0.70372,0.67188,0.71673,0.35016,1.75556,1.34922,2.01024,0.00021471,0.00021471,0.00021471
90,2417.37,1.49392,1.41848,1.79301,0.73151,0.64316,0.72512,0.35599,1.72907,1.35247,1.99189,0.000198206,0.000198206,0.000198206
91,2467.92,1.4688,1.30457,1.78081,0.72709,0.64314,0.72845,0.36296,1.74632,1.29682,2.01945,0.000181703,0.000181703,0.000181703
92,2494.56,1.45018,1.20687,1.77613,0.78922,0.60703,0.72909,0.36651,1.72913,1.32044,1.99974,0.0001652,0.0001652,0.0001652
93,2521.32,1.42047,1.18348,1.75675,0.76372,0.65523,0.7396,0.38015,1.72968,1.29983,2.00758,0.000148696,0.000148696,0.000148696
94,2548.25,1.40806,1.15453,1.73573,0.76741,0.65523,0.7458,0.37775,1.73429,1.29196,2.0062,0.000132193,0.000132193,0.000132193
95,2574.91,1.40663,1.12653,1.72729,0.73034,0.67729,0.74233,0.37549,1.74814,1.2921,2.02894,0.00011569,0.00011569,0.00011569
96,2601.6,1.39609,1.13303,1.73667,0.76426,0.6744,0.74933,0.38611,1.71848,1.27418,2.00981,9.91865e-05,9.91865e-05,9.91865e-05
97,2628.59,1.37813,1.11422,1.71337,0.79297,0.65163,0.74859,0.38452,1.71493,1.26601,2.00064,8.26832e-05,8.26832e-05,8.26832e-05
98,2655.32,1.39177,1.12267,1.72649,0.7639,0.67674,0.75685,0.39193,1.71413,1.23555,1.99421,6.61799e-05,6.61799e-05,6.61799e-05
99,2682.2,1.37051,1.09378,1.70582,0.80087,0.65556,0.75207,0.38982,1.71121,1.24232,1.99523,4.96766e-05,4.96766e-05,4.96766e-05
100,2708.81,1.35597,1.09629,1.69165,0.79186,0.65278,0.75247,0.39003,1.71039,1.24159,1.98877,3.31733e-05,3.31733e-05,3.31733e-05
