epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,12554.4,1.36585,1.11628,1.53306,0.77469,0.73883,0.78173,0.4038,1.61742,0.99734,1.64794,0.001387,0.001387,0.001387
89,12697.2,1.36847,1.11136,1.53156,0.77804,0.73783,0.78437,0.40514,1.61636,0.99581,1.64637,0.001288,0.001288,0.001288
90,12840,1.36504,1.09901,1.52708,0.7818,0.73523,0.78385,0.40545,1.61618,0.99544,1.64639,0.001189,0.001189,0.001189
91,12983.9,1.32375,0.87538,1.48887,0.77808,0.74091,0.78578,0.40577,1.61539,0.99274,1.64551,0.00109,0.00109,0.00109
92,13126.5,1.30099,0.8502,1.47049,0.77446,0.74673,0.78361,0.4066,1.61455,0.99178,1.64483,0.000991,0.000991,0.000991
93,13269.4,1.29287,0.83976,1.46589,0.77617,0.74384,0.78316,0.40712,1.61369,0.98829,1.64475,0.000892,0.000892,0.000892
94,13411.6,1.28503,0.83333,1.46233,0.7793,0.74317,0.78521,0.40787,1.61328,0.98704,1.64439,0.000793,0.000793,0.000793
95,13553.8,1.27536,0.82117,1.44912,0.78122,0.74714,0.78663,0.40781,1.61285,0.98482,1.64414,0.000694,0.000694,0.000694
96,13696,1.27321,0.82348,1.44746,0.78054,0.74691,0.78776,0.40823,1.6124,0.98285,1.64399,0.000595,0.000595,0.000595
97,13838.2,1.26363,0.7995,1.44193,0.78425,0.74951,0.78793,0.40902,1.61193,0.98114,1.64411,0.000496,0.000496,0.000496
98,13980.4,1.25562,0.8039,1.43659,0.78322,0.75153,0.78785,0.40951,1.61192,0.97862,1.64461,0.000397,0.000397,0.000397
99,14122.9,1.25345,0.79752,1.43718,0.78755,0.75288,0.79025,0.41007,1.61245,0.97623,1.64557,0.000298,0.000298,0.000298
100,14266.2,1.24798,0.788,1.4284,0.78364,0.75368,0.78937,0.41083,1.61134,0.97436,1.64516,0.000199,0.000199,0.000199
